signal,ticker,horizon,ret_type,n,ic,ci_lo,ci_hi,p,bh_reject,total_pnl,mean_per_trade,hit_rate,std_pnl
ofi_x_lm,NVDA,5,raw,910,0.016973632668348435,-0.04949775569200914,0.09050388894550433,0.309,False,0.020386577989804498,2.2402832955829118e-05,0.5088967971530249,0.001136191834673369
ofi_x_lm,NVDA,15,raw,883,-0.01997567176907812,-0.08841089118855636,0.052062985336100896,0.727,False,-0.034436334523662626,-3.899924634616379e-05,0.516728624535316,0.0019696847210296676
ofi_x_lm,PEP,1,raw,44,0.20639688970545297,-0.07303707548805505,0.47067048516828897,0.077,False,0.004200972317707668,9.547664358426519e-05,0.5384615384615384,0.0004028774545861191
ofi_x_lm,PEP,5,raw,43,0.33570759147868245,0.03708864792133849,0.564631588041578,0.012,False,0.013840620733804654,0.00032187490078615475,0.75,0.0010760276811275905
ofi_x_lm,PEP,15,raw,41,-0.00923219610694016,-0.3677869712356339,0.3440374851849285,0.529,False,0.006066137841824328,0.00014795458150791045,0.4166666666666667,0.0024482482157643106
ofi_x_lm,SOFI,1,raw,92,0.10148855267847573,-0.0945392312849174,0.2700957228754283,0.148,False,0.007194591252657299,7.820207883323151e-05,0.6190476190476191,0.0006111099447614976
ofi_x_lm,SOFI,5,raw,91,-0.09061381972103605,-0.2929985015628542,0.11348640400477779,0.813,False,-0.0124165542048416,-0.00013644565060265493,0.47619047619047616,0.001600447148747302
ofi_x_lm,SOFI,15,raw,89,-0.22574193134786755,-0.39363534733395333,-0.05419276716826063,0.99,False,-0.051168438120808304,-0.0005749262710203181,0.23809523809523808,0.002379257360295969
ofi_x_lm,TSLA,1,raw,494,-0.12195403360253243,-0.20965849469076123,-0.034309257784919285,0.998,False,-0.04784523532748968,-9.685270309208438e-05,0.40397350993377484,0.0006811260150978078
ofi_x_lm,TSLA,5,raw,487,-0.08540480552221978,-0.1700837323145466,0.0019838291794035765,0.972,False,-0.06368130517043799,-0.0001307624336148624,0.44666666666666666,0.0013056717183970732
ofi_x_lm,TSLA,15,raw,470,-0.03945975933190029,-0.12636776501470803,0.04788377249324983,0.803,False,-0.056948762216685225,-0.00012116757918443664,0.42657342657342656,0.0024741766836668747
