signal,target,total_pnl,mean_per_trade,hit_rate,std_pnl,n
llm,ret_15m,-0.3853521332032651,-0.0001404856482695097,0.48473118279569893,0.0034458971816356027,2743
llm,ret_1m,-0.00399844255371944,-1.395616947197012e-06,0.500418410041841,0.0009492643397477518,2865
llm,ret_5m,-0.24809154996631683,-8.747938997401863e-05,0.47924528301886793,0.002050316149205969,2836
lm,ret_15m,0.04402667751811743,1.6050556878642883e-05,0.5158013544018059,0.0019629618306481827,2743
lm,ret_1m,0.04963149874551763,1.7323385251489574e-05,0.5459518599562363,0.0005491585564984478,2865
lm,ret_5m,-0.06592292669199232,-2.3245037620589676e-05,0.4707792207792208,0.0012095044058020822,2836
ofi,ret_15m,0.14129935076888242,5.151270534775152e-05,0.5058694057226706,0.0035678277673974303,2743
ofi,ret_1m,0.029320218601697777,1.023393319430987e-05,0.5008957362952347,0.0009898945603063337,2865
ofi,ret_5m,0.25662534932412223,9.048848706774409e-05,0.5041263006817366,0.002118189390859216,2836
ofi_x_llm,ret_15m,-0.008915339345639428,-3.2502148544073743e-06,0.5010752688172043,0.003448759231052514,2743
ofi_x_llm,ret_1m,-0.021341255118145587,-7.448954666019402e-06,0.497489539748954,0.0009492361291290701,2865
ofi_x_llm,ret_5m,0.1050663689844792,3.704737975475289e-05,0.49853249475890987,0.0020518476215922125,2836
ofi_x_lm,ret_15m,-0.13899317039217715,-5.067195420786626e-05,0.49887133182844245,0.001962373124447557,2743
ofi_x_lm,ret_1m,-0.07980242393687102,-2.7854249192625137e-05,0.4671772428884026,0.0005487250627926471,2865
ofi_x_lm,ret_5m,-0.0845533954870581,-2.981431434663544e-05,0.4989177489177489,0.0012093602536627582,2836
