signal,horizon,ic_raw,ic_excess,p_raw,p_excess,n_raw,n_excess
ofi,1,0.01542514159640913,0.01050145399394483,0.234,0.343,2865,2204
ofi,5,0.023395381696726402,0.012919346972510496,0.11,0.315,2836,2180
ofi,15,0.014351293480579988,0.0157448719540696,0.253,0.248,2743,2113
lm,1,0.0439600546976539,0.03811540885367404,0.012,0.039,2865,2204
lm,5,-0.020179918619321224,-0.0048920015908561106,0.862,0.616,2836,2180
lm,15,0.013944276461978976,0.020059235068081945,0.229,0.199,2743,2113
llm,1,-0.014076583729470018,-0.02118025391215346,0.783,0.827,2865,2204
llm,5,-0.03749728120980195,-0.04158975648509041,0.974,0.97,2836,2180
llm,15,-0.03958205804351919,-0.026850706557081477,0.975,0.899,2743,2113
