scorer,horizon,n,b_pos,se_b_pos,b_neg,se_b_neg,wald_p,r2
llm_score,1,12430,-2.4789411386591518e-06,3.1145956360014355e-05,-1.8372168521020597e-05,4.488008859669277e-05,0.7711086186441196,0.00022793721211200602
llm_score,5,12342,-1.4367619177024114e-05,6.763793097795926e-05,-0.00012652203006499716,0.00012548122037822634,0.43142945593610355,0.0004025034922076065
llm_score,15,12115,-9.623697626095465e-05,0.0001107963919743752,0.00020698353982038164,0.0001909108090052512,0.16955965656734293,0.0002584562671160695
lm_score,1,12430,-4.9439949461536816e-05,3.0248565290085963e-05,-3.8088524063307804e-05,2.3659795206264804e-05,0.7675490467306029,0.0006558126920348517
lm_score,5,12342,-8.022295157447825e-06,5.603159205521068e-05,-3.988360627880399e-05,5.4433336723218805e-05,0.6833853993219029,0.00022755286974429634
lm_score,15,12115,-3.546259992222883e-05,9.180412650274001e-05,-7.252141194005794e-05,9.081815743284753e-05,0.7741352612762161,0.00011482260444606318
