split,horizon,ic,ci_lo,ci_hi,p_boot,n
confirmed,1,-0.007999223804640491,-0.033333892446267034,0.017638565601910867,0.755,5812
conflicted,1,0.003394218974931852,-0.021279338943255455,0.030183789061412565,0.365,5676
all,1,0.005394250775226562,-0.011956704701252667,0.022919762491566128,0.275,12430
confirmed,5,-0.002040753982431765,-0.02639477217498524,0.024998889230201972,0.562,5773
conflicted,5,-0.014139738446310167,-0.03823110552063804,0.012922320653715487,0.847,5632
all,5,-0.005047869083091657,-0.021813104232977346,0.012263784525993117,0.704,12342
confirmed,15,-0.015621648766820043,-0.041330840142186284,0.010311497149221973,0.89,5675
conflicted,15,0.015808806525585296,-0.012431710262444232,0.040235242495342216,0.129,5519
all,15,0.007091970136214485,-0.013073117418610301,0.024212132117466936,0.226,12115
