window,horizon,ic_named,ic_anon,diff,ci_lo,ci_hi,p,n,model
2025,1,-0.07348344627319398,-0.07016235796995123,-0.00332108830324275,-0.058517372612204945,0.05368184811634839,0.527,200,claude-haiku-4-5-20251001
2025,5,-0.08293330879498387,-0.07749318958331387,-0.005440119211669994,-0.06686919516969671,0.05107618774332712,0.535,199,claude-haiku-4-5-20251001
2025,15,-0.06934124400178236,-0.0704059731526702,0.0010647291508878443,-0.06655577162365893,0.06393051717001105,0.443,194,claude-haiku-4-5-20251001
2016-2020,1,-0.04176223798928288,0.037613502495264906,-0.07937574048454779,-0.13688299005471805,-0.028046177228585337,0.998,200,claude-haiku-4-5-20251001
2016-2020,5,0.1240909703203528,0.1618647471580048,-0.03777377683765201,-0.11012800568814342,0.021931184265525133,0.897,198,claude-haiku-4-5-20251001
2016-2020,15,0.07462356186277919,0.058414529977886515,0.016209031884892672,-0.044319277318817525,0.07532368590671853,0.314,197,claude-haiku-4-5-20251001
