ticker,date,file,spread_bps,n_rows,ic_1m,ic_5m,ic_15m
A,2019-01-02,A_2019-01-02_34200000_57600000_60_1,7.89,390,-0.1189411387711321,-0.1086126470883631,-0.027820513069063108
A,2019-01-03,A_2019-01-03_34200000_57600000_60_1,8.31,390,-0.030917870321607418,-0.009619722245404536,0.06216692732983136
A,2019-01-04,A_2019-01-04_34200000_57600000_60_1,5.6,390,-0.03913159729597512,-0.07314998386998009,-0.04017043708707823
A,2019-01-07,A_2019-01-07_34200000_57600000_60_1,6.63,390,-0.0876541855270154,-0.02749599009512334,-0.023264118239720025
A,2019-01-08,A_2019-01-08_34200000_57600000_60_1,7.98,390,-0.03313711058359716,0.04189741932122229,-0.07343924945686191
A,2019-01-09,A_2019-01-09_34200000_57600000_60_1,24.94,9,,,
A,2019-01-10,A_2019-01-10_34200000_57600000_60_1,7.72,390,-0.02850259405684283,0.05111333469286665,-0.01687918649187647
A,2019-01-11,A_2019-01-11_34200000_57600000_60_1,6.59,390,0.03539959775268594,-0.048897294816672286,-0.07358935346491928
A,2019-01-14,A_2019-01-14_34200000_57600000_60_1,5.94,390,-0.020561525836575986,-0.10213284977544755,-0.037040273581367564
A,2019-01-15,A_2019-01-15_34200000_57600000_60_1,5.86,390,0.0728645377771445,0.1212896566477479,0.04999191672431905
A,2019-01-16,A_2019-01-16_34200000_57600000_60_1,4.11,390,-0.003982763732114616,0.01309391513710002,-0.008973409036136264
A,2019-01-17,A_2019-01-17_34200000_57600000_60_1,4.76,390,-0.06374502403387002,-0.09936376709529483,-0.07510285691629176
A,2019-01-18,A_2019-01-18_34200000_57600000_60_1,5.24,390,0.023257217735374855,-0.046744913452681926,-0.0991125363616965
A,2019-01-22,A_2019-01-22_34200000_57600000_60_1,8.4,390,0.03082026290097394,0.06089947393338444,0.03364187147479832
A,2019-01-23,A_2019-01-23_34200000_57600000_60_1,3.18,390,-0.001637704608525539,-0.04899102277721679,0.048460351916832255
A,2019-01-24,A_2019-01-24_34200000_57600000_60_1,4.78,390,0.002306387532141031,-0.05208613349186795,-0.05454439404505796
A,2019-01-25,A_2019-01-25_34200000_57600000_60_1,4.76,390,-0.009684923901985899,-0.02721786283140843,-0.011912584999228577
