horizon,beta_pos,beta_neg,tstat_diff,pval_diff,r2,n
1,-4.878921393252904e-05,-4.048528479312367e-05,-0.14133077079669457,0.8876203232822365,0.0007452337879464421,2440
5,7.625032874236257e-05,-6.356249285337896e-05,0.920938033626248,0.3571743852389785,0.0003736005156562694,2428
15,0.00015127619265112522,-6.095372244451167e-05,0.9515737928715567,0.3414098014622707,0.0002848695059629591,2383
