ticker,date,file,spread_bps,n_rows,ic_1m,ic_5m,ic_15m
AAPL,2019-01-02,AAPL_2019-01-02_34200000_57600000_60_10,1.81,390,-0.07976059280652313,-0.07522386588346644,-0.06651328148161946
AAPL,2019-01-03,AAPL_2019-01-03_34200000_57600000_60_10,1.38,390,-0.015326352007872213,-0.03639567832361775,0.014770971942032082
AAPL,2019-01-04,AAPL_2019-01-04_34200000_57600000_60_10,1.04,390,0.006567964566640917,-0.11218738100906456,-0.07460450833334635
AAPL,2019-01-07,AAPL_2019-01-07_34200000_57600000_60_10,1.4,390,-0.0022500369136774665,0.017688807211024827,0.011229328850708745
AAPL,2019-01-08,AAPL_2019-01-08_34200000_57600000_60_10,1.37,390,0.11136163624488825,0.0756522954407378,-0.05350695514842675
AAPL,2019-01-09,AAPL_2019-01-09_34200000_57600000_60_10,5.11,9,,,
AAPL,2019-01-10,AAPL_2019-01-10_34200000_57600000_60_10,1.28,390,-0.00885362004796905,0.031479080738445915,0.0476994856200969
AAPL,2019-01-11,AAPL_2019-01-11_34200000_57600000_60_10,1.12,390,0.10730783984424351,0.01770240663525827,-0.020084216330242384
AAPL,2019-01-14,AAPL_2019-01-14_34200000_57600000_60_10,1.03,390,0.13833870460626213,-0.0699139833872139,-0.009218435255602734
AAPL,2019-01-15,AAPL_2019-01-15_34200000_57600000_60_10,1.2,390,0.06879989289859455,0.05875270714172963,-0.04458255494748253
AAPL,2019-01-16,AAPL_2019-01-16_34200000_57600000_60_10,0.98,390,0.04221224391128709,0.01836372962304541,-0.0682216849239593
AAPL,2019-01-17,AAPL_2019-01-17_34200000_57600000_60_10,1.23,390,-0.017082616150906057,0.016824515468772224,-0.04590967824434837
AAPL,2019-01-18,AAPL_2019-01-18_34200000_57600000_60_10,1.22,390,-0.018475677303242514,0.007270937184121642,-0.028153868674352347
AAPL,2019-01-22,AAPL_2019-01-22_34200000_57600000_60_10,1.11,390,0.02328964585812684,-0.03697218508782256,-0.04250363535177437
AAPL,2019-01-23,AAPL_2019-01-23_34200000_57600000_60_10,1.22,390,-0.03882986552460341,0.0015129868550466275,-0.018428983333304578
AAPL,2019-01-24,AAPL_2019-01-24_34200000_57600000_60_10,1.1,390,0.05774001945687122,-0.06120786055559223,-0.023830579614365483
AAPL,2019-01-25,AAPL_2019-01-25_34200000_57600000_60_10,1.14,390,0.09736166911659165,0.05786004088803729,0.060148051138618944
AAPL,2019-01-28,AAPL_2019-01-28_34200000_57600000_60_10,1.08,390,-0.005242658963193884,-0.03547854041725062,-0.005874429754491117
AAPL,2019-01-29,AAPL_2019-01-29_34200000_57600000_60_10,1.09,390,0.014058940002573659,0.0072130993941107065,0.06536582629511146
AAPL,2019-01-30,AAPL_2019-01-30_34200000_57600000_60_10,1.33,390,-0.06237452945190202,-0.019143173287397758,0.0006186320905763477
AAPL,2019-01-31,AAPL_2019-01-31_34200000_57600000_60_10,1.17,390,0.092293439721489,0.040107763540687125,0.016925068612201572
AAPL,2019-02-01,AAPL_2019-02-01_34200000_57600000_60_10,1.17,390,-0.07660176269966544,-0.04012313312931667,-0.08893076957660714
AAPL,2019-02-04,AAPL_2019-02-04_34200000_57600000_60_10,0.98,390,0.013772267846947323,-0.05497998259866036,-0.018263552204443985
AAPL,2019-02-05,AAPL_2019-02-05_34200000_57600000_60_10,1.02,390,0.05542180123449539,-0.06757952579386518,-0.020399477411851902
AAPL,2019-02-06,AAPL_2019-02-06_34200000_57600000_60_10,1.03,390,-0.030967497809088383,-0.05715317462432938,-0.0044481243047121005
AAPL,2019-02-07,AAPL_2019-02-07_34200000_57600000_60_10,1.07,390,0.03779187136524665,0.014400294051469052,-0.03326701589158604
AAPL,2019-02-08,AAPL_2019-02-08_34200000_57600000_60_10,1.05,390,-0.02176739742771609,-0.00733771934225158,-0.05204840161736954
AAPL,2019-02-11,AAPL_2019-02-11_34200000_57600000_60_10,0.97,390,-0.004892639992980629,-0.016655094599882417,0.025882244835868706
