scorer,horizon,ic,ci_lo,ci_hi,p_boot,n
OFI×LLM,1,0.025074439157621472,-0.01608384910109309,0.06627840896111173,0.116,2480
OFI×LLM,5,0.020247591119522384,-0.018130748531472403,0.06129044848265927,0.15,2462
OFI×LLM,15,0.011218148196587598,-0.03014188000678963,0.05036299559151894,0.299,2423
LLM,1,0.0030609898600132703,-0.03646808093792093,0.04633978051760419,0.445,2480
LLM,5,0.03368931783675071,-0.006570539759860088,0.07390142637357687,0.052,2462
LLM,15,0.005879956474040813,-0.03250384745325507,0.05004774753504388,0.359,2423
LM,1,-0.00990386793939567,-0.049164528418586234,0.03066228271030421,0.661,2480
LM,5,-0.02136822373827724,-0.061586669295857106,0.016099866272830225,0.866,2462
LM,15,0.031888821260294006,-0.007312431903172051,0.06992678195195669,0.061,2423
