notebook,cell_id,stock,scorer,horizon,n,ic,ci_lo,ci_hi,p,p_adj,reject_fdr
2,split_all_15m,pooled,ofi_x_llm,15.0,12115.0,0.0070919701362144,-0.0130731174186103,0.0242121321174669,0.226,0.7642368421052632,False
4,cmp_NVDA_OFI×LM_15m,NVDA,OFI×LM,15.0,846.0,0.0269546603434967,-0.0356564278141464,0.0942709535573886,0.204,0.7642368421052632,False
4,cmp_NVDA_LM_15m,NVDA,LM,15.0,846.0,0.0254549972494516,-0.0395896603455225,0.0899325400385256,0.238,0.7642368421052632,False
2,split_all_1m,pooled,ofi_x_llm,1.0,12430.0,0.0053942507752265,-0.0119567047012526,0.0229197624915661,0.275,0.7967948717948719,False
4,cmp_META_OFI×LM_15m,META,OFI×LM,15.0,433.0,0.0238399806194067,-0.0716185431909442,0.1227341945175756,0.312,0.8007413793103448,False
4,cmp_AMD_OFI×LLM_1m,AMD,OFI×LLM,1.0,271.0,0.0131304163043114,-0.1119827198348237,0.1460884564508522,0.404,0.8007413793103448,False
4,cmp_NVDA_LLM_1m,NVDA,LLM,1.0,865.0,0.011965924837753,-0.0577119013929386,0.0766648635814093,0.372,0.8007413793103448,False
1,uncond_2016-2020_LM_15m,pooled,LM,15.0,12115.0,0.0021996318681276,-0.014726073790048,0.0207032706828207,0.41,0.8007413793103448,False
4,cmp_META_OFI×LLM_15m,META,OFI×LLM,15.0,433.0,0.0159004929023151,-0.0862701543524685,0.1078587200794996,0.377,0.8007413793103448,False
4,cmp_AAPL_LLM_1m,AAPL,LLM,1.0,507.0,0.015192205450556,-0.0756066317918621,0.1047369819835064,0.361,0.8007413793103448,False
4,cmp_AAPL_OFI×LLM_15m,AAPL,OFI×LLM,15.0,498.0,0.0135646736943592,-0.0780218281180384,0.0971219638311084,0.388,0.8007413793103448,False
4,cmp_AAPL_OFI×LLM_5m,AAPL,OFI×LLM,5.0,502.0,0.0198105346581771,-0.0771424755930812,0.1081531249162683,0.351,0.8007413793103448,False
1,uncond_2016-2020_LLM_5m,pooled,LLM,5.0,12342.0,0.003933008221613,-0.0126917624624645,0.0215653675762656,0.322,0.8007413793103448,False
4,oos_OFI×LLM_15m,pooled_2025,OFI×LLM,15.0,2423.0,0.0112181481965875,-0.0301418800067896,0.0503629955915189,0.299,0.8007413793103448,False
4,cmp_AMD_OFI×LM_1m,AMD,OFI×LM,1.0,271.0,0.0225983608651162,-0.0956459260019577,0.1554770001652224,0.348,0.8007413793103448,False
4,rel_direct_15m,agent_pooled,ofi_x_llm|direct,15.0,1057.0,0.0060528744129997,-0.0534685996767555,0.0718972213918184,0.411,0.8007413793103448,False
4,oos_LLM_15m,pooled_2025,LLM,15.0,2423.0,0.0058799564740408,-0.032503847453255,0.0500477475350438,0.359,0.8007413793103448,False
4,cmp_NVDA_OFI×LM_1m,NVDA,OFI×LM,1.0,865.0,0.0188134674058321,-0.0462122883678331,0.0819685018126962,0.299,0.8007413793103448,False
4,cmp_NVDA_OFI×LLM_1m,NVDA,OFI×LLM,1.0,865.0,0.0114843416659421,-0.0593488278532711,0.0784178424941252,0.373,0.8007413793103448,False
1,uncond_2025_LLM_15m,pooled,LLM,15.0,2423.0,0.0058799564740408,-0.032503847453255,0.0500477475350438,0.359,0.8007413793103448,False
4,cmp_META_LM_15m,META,LM,15.0,433.0,0.0109460331376467,-0.0818738223280676,0.1068306696658808,0.407,0.8007413793103448,False
2,split_conflicted_1m,pooled,ofi_x_llm,1.0,5676.0,0.0033942189749318,-0.0212793389432554,0.0301837890614125,0.365,0.8007413793103448,False
4,cmp_META_LLM_15m,META,LLM,15.0,433.0,0.0188422608062023,-0.0738490159072475,0.1144457617392205,0.357,0.8007413793103448,False
1,uncond_2025_LLM_1m,pooled,LLM,1.0,2480.0,0.0030609898600132,-0.0364680809379209,0.0463397805176041,0.445,0.8109411764705882,False
4,cmp_AMD_OFI×LLM_5m,AMD,OFI×LLM,5.0,271.0,0.0134454582125096,-0.1183917860046728,0.1448325267651949,0.429,0.8109411764705882,False
2,wald_llm_score_5m,pooled,llm_score,5.0,12342.0,,,,0.4314294559361035,0.8109411764705882,False
